Movie name,Description,Genre
The Shawshank Redemption,"imprisoned   1940s   double murder   wife   lover, standing banker andy dufresne begins  new life   shawshank prison,   puts  accounting skills  work   moral warden.   long stretch  prison, dufresne comes   admired    inmates -- including  older prisoner named red --   integrity  unquenchable sense  hope.","Drama, Crime"
The Godfather,"spanning  years 1945  1955,  chronicle   fictional italian-american corleone crime family.  organized crime family patriarch, veto corleone barely survives  attempt   life,  youngest son, michael steps   take care   would-be killers, launching  campaign  bloody revenge.","Drama, Crime"
The Godfather Part II,"  continuing saga   corleone crime family,  young veto corleone grows   simply   1910s new york.   1950s, michael corleone attempts  expand  family business  las vegas, hollywood  cuba.","Drama, Crime"
Schindler's List, true story   businessman oscar chandler saved   thousand jewish lives   nazis   worked  slaves   factory  world war ii.,"Drama, History, War"
12 Angry Men," defense   prosecution  rested   jury  filing   jury room  decide   young spanish-american  guilty  innocent  murdering  father.  begins   open  shut case soon becomes  mini-drama     jurors' prejudices  preconceptions   trial,  accused,   other.",Drama
Spirited Away," young girl, chihiro, becomes trapped   strange new world  spirits.   parents undergo  mysterious transformation,  must call upon  courage  never knew    free  family.","Animation, Family, Fantasy"
The Dark Knight,"batman raises  stakes   war  crime.   help  lt. jim gordon  district attorney harvey dent, batman sets   dismantle  remaining criminal organizations  plague  streets.  partnership proves   effective,   soon find  prey   reign  chaos unleashed   rising criminal mastermind known   terrified citizens  gotham   joker.","Drama, Action, Crime, Thriller"
Dilwale Dulhania Le Jayenge,"raj   rich, carefree, happy-go-lucky second generation nri. iran   daughter  chaudhary ballet singh,   spite    nri   strict  adherence  indian values. iran  left  india   married   childhood fiancé. raj leaves  india   mission   hands,  claim  lady love   noses   whole family. thus begins  saga.","Comedy, Drama, Romance"
The Green Mile," supernatural tale set  death row   southern prison,  gentle giant john coffee possesses  mysterious power  heal people's ailments.   cell block's head guard, paul edgecomb, recognizes coffee's miraculous gift,  tries desperately  help stave   condemned man's execution.","Fantasy, Drama, Crime"
Parasite," unemployed, ki-talk's family takes peculiar interest   wealthy  glamorous parks   livelihood   get entangled   unexpected incident.","Comedy, Thriller, Drama"
